wgr_threshold,sustained_months,n_events,method,c_index,mae_events,median_error,max_error,skipped
4,4,12,sksurv CWGB,0.748,143.0,76.9,769.6,False
4,4,12,Stacked,0.729,166.5,103.4,617.2,False
4,4,12,Simple Mean,0.785,133.3,83.6,507.1,False
4,4,12,Trimmed Mean,0.776,136.8,76.2,572.9,False
4,4,12,Median,0.766,164.0,81.5,769.6,False
4,4,12,Geometric Mean,0.785,100.2,79.9,309.2,False
4,4,12,Inv-MAE Weighted,0.794,117.1,85.5,422.2,False
4,4,12,Rank Fusion,0.776,92.7,64.5,230.0,False
4,6,12,Cox PH,0.785,205.4,56.0,897.0,False
4,6,12,Weibull AFT,0.734,213.1,76.2,897.0,False
4,6,12,XGB Cox,0.668,143.4,123.0,309.9,False
4,6,12,XGB AFT,0.57,109.4,131.2,254.6,False
4,6,12,sksurv GBSA,0.822,194.5,82.3,868.0,False
4,6,12,sksurv CWGB,0.748,142.1,76.9,769.6,False
4,6,12,Stacked,0.729,168.7,99.0,646.3,False
4,6,12,Simple Mean,0.785,133.3,80.4,508.9,False
4,6,12,Trimmed Mean,0.776,136.7,75.8,575.4,False
4,6,12,Median,0.766,163.0,76.0,769.6,False
4,6,12,Geometric Mean,0.785,99.7,74.8,310.4,False
4,6,12,Inv-MAE Weighted,0.794,117.1,80.4,423.8,False
4,6,12,Rank Fusion,0.776,91.8,64.5,230.0,False
5,1,12,Cox PH,0.807,182.1,32.5,895.0,False
5,1,12,Weibull AFT,0.778,206.6,95.4,895.0,False
5,1,12,XGB Cox,0.689,139.0,122.2,308.5,False
5,1,12,XGB AFT,0.642,116.4,129.2,253.4,False
5,1,12,sksurv GBSA,0.821,207.2,91.9,866.0,False
5,1,12,sksurv CWGB,0.783,131.9,83.9,720.1,False
5,1,12,Stacked,0.755,160.3,90.7,637.6,False
5,1,12,Simple Mean,0.811,131.8,77.9,513.6,False
5,1,12,Trimmed Mean,0.821,133.6,78.0,582.5,False
5,1,12,Median,0.788,163.7,93.2,720.1,False
5,1,12,Geometric Mean,0.811,96.0,70.8,315.6,False
5,1,12,Inv-MAE Weighted,0.821,118.4,75.5,441.2,False
5,1,12,Rank Fusion,0.802,103.8,88.6,228.0,False
5,2,12,Cox PH,0.819,124.7,42.5,799.0,False
5,2,12,Weibull AFT,0.795,198.1,95.4,871.0,False
5,2,12,XGB Cox,0.771,145.6,159.0,296.5,False
5,2,12,XGB AFT,0.657,123.2,129.3,252.9,False
5,2,12,sksurv GBSA,0.843,183.4,101.8,799.0,False
5,2,12,sksurv CWGB,0.81,144.1,89.6,653.1,False
5,2,12,Stacked,0.79,105.0,50.7,515.8,False
5,2,12,Simple Mean,0.838,109.8,87.7,443.1,False
5,2,12,Trimmed Mean,0.838,102.6,71.2,511.1,False
5,2,12,Median,0.805,109.8,48.8,653.1,False
5,2,12,Geometric Mean,0.829,79.9,54.0,245.0,False
5,2,12,Inv-MAE Weighted,0.838,101.3,74.9,415.0,False
5,2,12,Rank Fusion,0.81,100.7,106.0,208.1,False
5,3,12,Cox PH,0.788,137.6,74.5,791.0,False
5,3,12,Weibull AFT,0.741,204.9,83.7,871.0,False
5,3,12,XGB Cox,0.703,152.8,157.2,309.9,False
5,3,12,XGB AFT,0.642,117.5,127.8,261.0,False
5,3,12,sksurv GBSA,0.844,179.4,75.0,791.0,False
5,3,12,sksurv CWGB,0.764,155.7,93.9,721.9,False
5,3,12,Stacked,0.774,104.1,71.7,410.0,False
5,3,12,Simple Mean,0.792,111.2,83.2,432.5,False
5,3,12,Trimmed Mean,0.802,103.3,57.8,499.5,False
5,3,12,Median,0.802,125.1,68.8,721.9,False
5,3,12,Geometric Mean,0.783,83.5,62.0,234.4,False
