date,well,pressure,choke_size,prod_days,gas_produced,water_produced,porosity,permeability_md,skin,sw,net_pay_m,chlorides_ppm,top_perf_md,bottom_perf_md,perf_midpoint_md,bhp,gas_gravity
2006-11-01,75,652.7,,,202.263,243.048,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-12-01,75,654.6,,,207.418,356.857,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-01-01,75,653.1,,,209.071,295.762,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-02-01,75,647.1,,,190.479,278.833,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-03-01,75,650.1,,,208.025,324.024,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-04-01,75,646.1,,,191.745,340.952,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-05-01,75,677.4,,,184.67,341.429,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-06-01,75,682.4,,,183.811,250.548,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-07-01,75,675.6,,,180.122,263.857,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-08-01,75,690.4,,,166.683,209.095,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-09-01,75,674.8,,,177.213,253.381,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-10-01,75,653.4,,,177.793,235.119,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-11-01,75,671.3,,,169.038,227.31,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2007-12-01,75,673.6,,,171.882,29.81,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-01-01,75,676.4,,,170.332,284.333,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-02-01,75,672.7,,,157.261,111.595,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-03-01,75,681.1,,,167.65,138.452,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-04-01,75,682.5,,,161.581,129.929,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-05-01,75,689.9,,,155.286,134.81,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
